number,name,region,weight,height,type1,type2,height,Evolution,Evolution2,Evolution3,Evolution4,Evolution5,Evolution6,Evolution7,Evolution8,EV Method,EV Method2,EV Method3,EV Method4,EV Method5,EV Method6,EV Method7,EV Method8,EV Stage,"R,B,Y","G,S,C","R,S,E","FR,LG","D,P,P","HG,SS","B,W,B2,W2","X,Y","OR,AS","S,M,US,UM","LGP,LGE","S,S",Entry Red,Entry Blue,Entry Yellow,Entry Gold,Entry Silver,Entry Crystal,Entry Ruby,Entry Saphire,Entry Emerald,Entry Fire Red,Entry Leaf Green,Entry Diamond,Entry Pearl,Entry Platinum,Entry Heart Gold,Entry Soul Silver,Entry Black,Entry White,Entry Black 2,Entry White 2,Entry X,Entry Y,Entry Omega Ruby,Entry Alpha Saphire,Entry Sun,Entry Moon,Entry Ultra Sun,Entry Ultra Moon,Entry Let's Go Pikachu,Entry Let's Go Eevee,Entry Sword,Entry Shield
1,Bulbasaur,Kanto,15.2,"2'04""",grass,poison,2.04,Ivysaur,,,,,,,,16,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ivysaur,Kanto,28.7,"3'03""",grass,poison,3.03,Venusaur,,,,,,,,32,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Venusaur,Kanto,220.5,"6'07""",grass,poison,6.07,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Charmander,Kanto,18.7,"2'00""",fire,,2,charmeleon,,,,,,,,16,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,charmeleon,Kanto,41.9,"3'07""",fire,,3.04,charizard,,,,,,,,36,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,charizard,Kanto,199.5,"5'07""",fire,flying,5.07,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,squirtle,Kanto,19.8,"1'08""",water,,1.08,wartortle,,,,,,,,16,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,wartortle,Kanto,49.6,"3'03""",water,,3.03,blastiose,,,,,,,,36,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,blastiose,Kanto,188.5,"5'03""",water,,5.03,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,caterpie,Kanto,6.4,"1'00""",bug,,1,metapod,,,,,,,,7,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,metapod,Kanto,21.8,"2'04""",bug,,2.04,butterfree,,,,,,,,10,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,butterfree,Kanto,70.5,"3'07""",bug,flying,3.07,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,weedle,Kanto,7.1,"1'00""",bug,poison,1,kakuna,,,,,,,,7,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,kakuna,Kanto,22,"2'00""",bug,poison,2,beedrill,,,,,,,,10,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,beedrill,Kanto,65,"3'03""",bug,poison,3.03,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,pidgey,Kanto,4,"1'00""",normal,flying,1,pidgeotto,,,,,,,,18,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,pidgeotto,Kanto,66.1,"3'07""",normal,flying,3.07,pidgeot,,,,,,,,36,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,pidgeot,Kanto,87.1,"4'11""",normal,flying,4.11,,,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,rattata,Kanto,7.7,"1'00""",normal,,1,raticate,,,,,,,,20,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.1,rattata,Alola,8.4,"1'00""",dark,normal,1,raticate,,,,,,,,20 at night,,,,,,,,1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,raticate,Kanto,40.8,"2'04""",normal,,2.04,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.1,raticate,Alola,56.2,"2'04""",dark,normal,2.04,,,,,,,,,,,,,,,,,2,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,spearow,Kanto,4.4,"1'00""",normal,flying,1,fearow,,,,,,,,20,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,fearow,Kanto,83.8,"3'11""",normal,flying,3.11,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ekans,Kanto,15.2,"6'07""",poison,,6.07,arbok,,,,,,,,22,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,arbok,Kanto,143.3,"11'06""",poison,,11.06,,,,,,,,,,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
